imdbID,tmdbID,imdbRating,tmdbRating,genres,countries,year,runtime,title,overview,originalLanguage,posterURLs.original,streamingInfo.disney.us.added,streamingInfo.disney.us.leaving,streamingInfo.paramount.us.added,streamingInfo.paramount.us.leaving,streamingInfo.showtime.us.added,streamingInfo.showtime.us.leaving,streamingInfo.hulu.us.added,streamingInfo.hulu.us.leaving,streamingInfo.netflix.us.added,streamingInfo.netflix.us.leaving,streamingInfo.prime.us.added,streamingInfo.prime.us.leaving,streamingInfo.hbo.us.added,streamingInfo.hbo.us.leaving,streamingInfo.zee5.us.added,streamingInfo.zee5.us.leaving,streamingInfo.peacock.us.added,streamingInfo.peacock.us.leaving,streamingInfo.starz.us.added,streamingInfo.starz.us.leaving,streamingInfo.mubi.us.added,streamingInfo.mubi.us.leaving,streamingInfo.apple.us.added,streamingInfo.apple.us.leaving
tt0028950,777,81,78,"Drama, War",['FR'],1937,114,Grand Illusion,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.",fr,https://image.tmdb.org/t/p/original/lWg41zE0FVixkNsFgxnlRyvDYv9.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0097216,925,79,77,Drama,['US'],1989,120,Do the Right Thing,"Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",en,https://image.tmdb.org/t/p/original/63rmSDPahrH7C1gEFYzRuIBAN9W.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0119250,5910,77,76,"Crime, Drama",['JP'],1997,103,Fireworks,"Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.",ja,https://image.tmdb.org/t/p/original/kODRulaJ71pSQF5TcfuCIFUKTn.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt1639426,45316,81,72,Drama,['IN'],2010,138,Udaan,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",hi,https://image.tmdb.org/t/p/original/8dQmrGk0WRPiCwiiGdIxnY5s8Pc.jpg,,,,,,,,,1654023634.0,0.0,,,,,,,,,,,,,,
tt0401383,2013,80,76,"1, Drama","['FR', 'US']",2007,112,The Diving Bell and the Butterfly,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.",fr,https://image.tmdb.org/t/p/original/3MJUo4bCPai5r9zrw7nTS8sVzQ7.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0071315,829,82,79,"Drama, Mystery, Thriller",['US'],1974,130,Chinatown,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",en,https://image.tmdb.org/t/p/original/7ljxmU9L0ugUvyyg0GBkFaarjEq.jpg,,,,,,,,,,,,,1655514689.0,16752384000.0,,,,,,,,,,
tt4302938,313297,77,76,"Animation, Action, Adventure",['US'],2016,102,Kubo and the Two Strings,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",en,https://image.tmdb.org/t/p/original/aZJ6KK1Wt7YB4dgZ0qlpaX3PwNV.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0046359,632,80,77,"Comedy, War",['US'],1953,120,Stalag 17,"It's a dreary Christmas 1944 for the American POWs in Stalag 17 and the men in Barracks 4, all sergeants, have to deal with a grave problem—there seems to be a security leak.",en,https://image.tmdb.org/t/p/original/lfve9FDKjT7JPbWI9NCs5340F79.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt1727824,424694,79,80,"1, Drama, Music","['GB', 'US']",2018,135,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",en,https://image.tmdb.org/t/p/original/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,,,,,,,1668242299.0,1672559940.0,,,,,,,,,,,,,,,,
tt10272386,600354,82,81,"Drama, Mystery","['FR', 'GB', 'US']",2020,97,The Father,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",en,https://image.tmdb.org/t/p/original/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg,,,,,,,,,,,,,,,,,,,1631218668.0,32503697999.0,,,,
